post_id,media,reporter,str_date,title,link,scores,grp_copy,key1
6287992,每日经济新闻,刘明涛,20200224,早财经丨武汉小区24小时封闭管理还将持续；韩国新冠肺炎疫情预警升至最高级别；云南投资3.6万亿元实施基础设施“双十”重大工程,http://www.nbd.com.cn/articles/2020-02-23/1410725.html,0,2, 兴全 东方 富国 睿远
6287997,每日经济新闻,每经记者 聂 虹,20200223,基金赚钱效应显现 资产配置有讲究,http://www.nbd.com.cn/articles/2020-02-23/1410753.html,0,14, 博时
6287998,每日经济新闻,每经记者 王 晗,20200223,多家公募“打折买股” 兴全、睿远等旗下爆款基金闪现,http://www.nbd.com.cn/articles/2020-02-23/1410749.html,0,15, 兴全 睿远 富国 太平 建信
6288059,中国基金报,李树超,20200224,打造收益稳健的“固收+”产品,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428672.htm,2,6, 银华
6288061,中国基金报,应尤佳,20200224,以华尔街式长线投资掘金A股,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428670.htm,0,4, 华泰柏瑞
6288064,中国基金报,李树超,20200224,公募积极参与疫情防控债投资,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428667.htm,0,8, 招商
6288065,中国基金报,陆慧婧,20200224,科技类ETF受热捧 成交额赶超主流宽基产品,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428663.htm,0,11, 华泰柏瑞 华夏 华宝
6288076,中国基金报,陆慧婧,20200224,固收为盾权益为矛,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428673.htm,0,4, 朱雀基金 富国
6288160,中国基金报,刘芬,20200224,今年以来权益基金募集规模已达2000亿,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428658.htm,0,7, 交银 农银汇理 博时 广发 国泰 华夏 嘉实 南方 平安 上投摩根 易方达 睿远
6288167,中国基金报,朗月行,20200224,基金公司青睐科技类ETF 扎堆申报新能源汽车主题产品,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428664.htm,0,6, 华宝 宝盈 汇安 博时 广发 华安 华夏 汇丰晋信 嘉实 先锋 易方达 招商
6288175,中国基金报,项晶,20200224,新基金继续扎堆发行 本周21只“同台竞技”,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428665.htm,0,13, 交银 国投瑞银 国联安 农银汇理 建信 博时 富国 广发 国泰 泓德 嘉实 南方 鹏华 鹏扬 平安 易方达 睿远
6288189,中国基金报,刘芬,20200224,基金电商渠道销量猛涨 支付宝日均申购增长400%,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428666.htm,0,0, 万家
6288191,中国基金报,赵婷,20200224,机构看好高收益中资美元债,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428648.htm,0,3, 国海富兰克林
6288192,中国基金报,CIS,20200224,风格重于基本面的特征持续,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428650.htm,2,2, 农银汇理
6288194,中国基金报,赵婷,20200224,外资唱多也做多 不断加速布局中国,http://chinafund.stcn.com/paper/zgjjb/html/epaper/index/content_1428652.htm,0,2, 华夏
6289352,中国证券报,林荣华,20200224,百亿资金抢筹新能源汽车ETF 机构看好行业向上趋势,http://www.cs.com.cn/tzjj/jjdt/202002/t20200224_6028674.html,0,18, 华夏 平安 融通
6289354,中国证券报,徐金忠,20200224,燃爆的基金发行市场,http://www.cs.com.cn/tzjj/jjdt/202002/t20200224_6028688.html,0,11, 交银 东证资管 东方 睿远 上投摩根 中邮 国联安
6289355,中国证券报,徐金忠,20200224,基金机构寻觅低估值机会,http://www.cs.com.cn/tzjj/jjdt/202002/t20200224_6028689.html,0,0, 国金 长城
6289360,中国证券报,徐金忠,20200224,机构密集调研科技行业,http://www.cs.com.cn/tzjj/jjdt/202002/t20200224_6028691.html,0,7, 东方 富国 国泰 嘉实 汇丰晋信
6289361,中国证券报,林荣华,20200224,A股ETF连续两周净流出,http://www.cs.com.cn/tzjj/jjdt/202002/t20200224_6028692.html,0,9, 华泰柏瑞 工银瑞信 华夏 南方 华安 华宝 国联安 国泰
6289364,中国证券报,恒天财富,20200224,一周基金业绩：股基净值上涨4.70%,http://www.cs.com.cn/tzjj/jjcs/202002/t20200224_6028694.html,0,5, 海富通 华夏 长城 民生加银
6289365,中国证券报,侯志红,20200224,主编手记：当心稀里糊涂成为“接盘侠”,http://www.cs.com.cn/tzjj/jjks/202002/t20200224_6028673.html,0,2, 睿远
6289366,中国证券报,张焕昀,20200224,基金经理：创业板行情大概率延续,http://www.cs.com.cn/tzjj/jjks/202002/t20200224_6028675.html,0,0, 长城 融通 永赢
6289368,中国证券报,富国基金,20200224,富国基金：如何理解科学稳健把握逆周期调节力度？,http://www.cs.com.cn/tzjj/jjks/202002/t20200224_6028677.html,2,3, 富国
