media,str_date,reprint,scores
新浪,20191105,4,2
和讯网,20191105,1,2
和讯网,20191105,1,2
华夏时报,20191105,1,0
和讯网,20191105,1,2
第一财经,20191105,3,0
中国经济网,20191105,1,2
新浪,20191105,2,2
新浪,20191105,2,2
中国基金报,20191105,0,2
中国基金报,20191105,0,2
和讯网,20191105,0,2
新浪,20191105,3,2
界面,20191105,1,0
界面,20191105,0,0
金融界,20191105,1,0
中国网,20191105,5,0
金融界,20191105,3,2
中国证券报,20191105,0,0
和讯网,20191105,1,0
和讯网,20191105,0,2
中国证券报,20191105,3,2
财新网,20191105,0,0
财联社,20191105,0,0
财联社,20191105,0,0
新浪,20191105,2,0
21世纪经济报道,20191105,0,0
新浪,20191105,1,-2
新浪,20191105,0,2
新浪,20191105,1,2
和讯网,20191105,1,2
和讯网,20191105,1,2
新浪,20191105,1,2
中国网,20191105,3,2
新浪,20191105,3,2
新浪,20191105,1,2
新浪,20191105,3,2
第一财经,20191105,2,0
界面,20191105,0,0
21世纪经济报道,20191105,0,0
财联社,20191105,1,0
澎湃,20191105,1,0
每日经济新闻,20191105,1,0
新浪,20191101,0,0
新浪,20191105,3,0
新浪,20191105,0,2
澎湃,20191105,1,0
每日经济新闻,20191105,5,0
证券时报,20191101,0,0
蓝鲸,20191105,3,2
21世纪经济报道,20191105,1,0
新京报,20191105,10,0
第一财经,20191105,1,0
中国证券报,20191105,3,0
中国证券报,20191105,2,0
中国证券报,20191105,2,2
财联社,20191105,1,0
中国证券报,20191105,1,0
中国证券报,20191105,1,0
中国证券报,20191105,2,2
中国证券报,20191105,3,2
第一财经,20191105,0,0
21世纪经济报道,20191105,2,0
第一财经,20191105,0,0
第一财经,20191105,3,0
国际金融报,20191105,7,0
新浪,20191105,3,-1
21世纪经济报道,20191106,1,0
北京商报,20191105,1,0
北京商报,20191105,2,0
北京商报,20191105,3,0
财联社,20191105,2,0
蓝鲸,20191105,3,0
腾讯,20191106,1,0
21世纪经济报道,20191106,7,0
21世纪经济报道,20191106,4,0
21世纪经济报道,20191106,11,0
财联社,20191105,6,0
21世纪经济报道,20191106,1,0
21世纪经济报道,20191106,1,0
新京报,20191106,14,0
21世纪经济报道,20191106,4,2
21世纪经济报道,20191106,4,0
中华工商时报,20191106,1,0
中华工商时报,20191106,1,2
中华工商时报,20191106,0,0
中华工商时报,20191106,0,0
金融投资报,20191106,0,0
金融投资报,20191106,3,0
金融投资报,20191106,2,0
金融投资报,20191106,1,0
金融投资报,20191106,1,2
每日经济新闻,20191105,2,0
每日经济新闻,20191105,6,2
每日经济新闻,20191105,11,0
每日经济新闻,20191105,9,0
新京报,20191106,0,0
新京报,20191106,0,0
国际金融报,20191106,3,0
证券日报,20191106,6,2
新京报,20191106,0,0
新闻晨报,20191106,0,0
新浪,20191105,0,0
新京报,20191106,3,0
新京报,20191106,2,0
中国经济网,20191106,3,-1
上海证券报,20191106,10,2
中国网,20191106,14,-2
上海证券报,20191106,1,0
上海证券报,20191106,3,0
上海证券报,20191106,1,0
中国经济网,20191106,5,2
中国证券报,20191106,13,0
投资快报,20191106,1,0
中国证券报,20191106,1,0
中国证券报,20191106,15,0
中国证券报,20191106,19,0
网易,20191106,0,0
证券时报,20191106,15,0
投资快报,20191106,0,0
中国基金报,20191106,1,2
第一财经,20191106,1,0
中国证券报,20191106,5,0
21世纪经济报道,20191106,2,0
21世纪经济报道,20191106,0,0
和讯网,20191106,0,2
中国经济网,20191106,1,2
第一财经,20191106,1,0
第一财经,20191106,8,0
中国网,20191106,1,2
上海证券报,20191106,2,0
投资者报,20191106,4,2
界面,20191106,0,0
财联社,20191106,0,0
中国经济网,20191106,3,2
中国证券报,20191106,4,0
中国证券报,20191106,0,0
每日经济新闻,20191106,17,0
上海证券报,20191106,1,0
上海证券报,20191106,0,0
上海证券报,20191106,1,2
和讯网,20191106,1,2
新浪,20191106,0,2
财新网,20191106,0,0
经济观察报,20191106,1,0
21世纪经济报道,20191106,1,0
21世纪经济报道,20191106,2,0
21世纪经济报道,20191106,0,0
财联社,20191106,1,0
财联社,20191106,0,0
金融界,20191106,3,0
金融界,20191106,0,0
中国网,20191106,5,2
全景网,20191106,0,2
中国基金报,20191106,0,0
中国基金报,20191106,2,0
证券时报,20191106,4,2
21世纪经济报道,20191106,0,0
财新网,20191106,0,0
北京商报,20191106,1,0
澎湃,20191106,2,0
新浪,20191106,4,-2
每日经济新闻,20191106,3,0
新浪,20191106,3,2
上海证券报,20191106,3,2
网易,20191106,2,-2
中国证券报,20191106,3,0
中国证券报,20191106,3,0
中国证券报,20191106,0,0
21世纪经济报道,20191106,0,0
和讯网,20191106,0,2
证券时报,20191106,0,0
财联社,20191106,1,0
财联社,20191106,4,0
财联社,20191106,1,0
财联社,20191106,0,0
经济观察报,20191106,2,0
北京商报,20191105,2,0
北京商报,20191106,0,0
21世纪经济报道,20191106,1,0
21世纪经济报道,20191106,0,0
